,times,values
0,1648835419.968,7877
1,1648835419.97,7882
2,1648835419.972,7887
3,1648835419.974,7894
4,1648835419.976,7903
5,1648835419.978,7914
6,1648835419.98,7926
7,1648835419.982,7940
8,1648835419.984,7954
9,1648835419.986,7968
10,1648835419.988,7979
11,1648835419.99,7986
12,1648835419.992,7988
13,1648835419.994,7985
14,1648835419.996,7984
15,1648835419.998,7984
16,1648835420.0,7986
17,1648835420.002,7987
18,1648835420.004,7987
19,1648835420.006,7989
20,1648835420.008,7993
21,1648835420.01,8001
22,1648835420.012,8011
23,1648835420.014,8022
24,1648835420.016,8033
25,1648835420.018,8043
26,1648835420.02,8051
27,1648835420.022,8058
28,1648835420.024,8068
29,1648835420.026,8080
30,1648835420.028,8092
31,1648835420.03,8103
32,1648835420.032,8111
33,1648835420.034,8117
34,1648835420.036,8122
35,1648835420.038,8127
36,1648835420.04,8133
37,1648835420.042,8138
38,1648835420.044,8142
39,1648835420.046,8145
40,1648835420.048,8147
41,1648835420.05,8148
42,1648835420.052,8147
43,1648835420.054,8145
44,1648835420.056,8144
45,1648835420.058,8144
46,1648835420.06,8146
47,1648835420.062,8150
48,1648835420.064,8156
49,1648835420.066,8162
50,1648835420.068,8168
51,1648835420.07,8174
52,1648835420.072,8180
53,1648835420.074,8184
54,1648835420.076,8186
55,1648835420.078,8189
56,1648835420.08,8194
57,1648835420.082,8202
58,1648835420.084,8209
59,1648835420.086,8214
60,1648835420.088,8220
61,1648835420.09,8225
62,1648835420.092,8229
63,1648835420.094,8231
64,1648835420.096,8229
65,1648835420.098,8224
66,1648835420.1,8218
67,1648835420.102,8210
68,1648835420.104,8199
69,1648835420.106,8188
70,1648835420.108,8179
71,1648835420.11,8173
72,1648835420.112,8170
73,1648835420.114,8171
74,1648835420.116,8173
75,1648835420.118,8177
76,1648835420.12,8182
77,1648835420.122,8187
78,1648835420.124,8189
79,1648835420.126,8187
80,1648835420.128,8179
81,1648835420.13,8169
82,1648835420.132,8158
83,1648835420.134,8149
84,1648835420.136,8141
85,1648835420.138,8135
86,1648835420.14,8130
87,1648835420.142,8126
88,1648835420.144,8122
89,1648835420.146,8119
90,1648835420.148,8115
91,1648835420.15,8112
92,1648835420.152,8108
93,1648835420.154,8104
94,1648835420.156,8098
95,1648835420.158,8091
96,1648835420.16,8083
97,1648835420.162,8077
98,1648835420.164,8071
99,1648835420.166,8068
100,1648835420.168,8066
101,1648835420.17,8062
102,1648835420.172,8058
103,1648835420.174,8055
104,1648835420.176,8053
105,1648835420.178,8052
106,1648835420.18,8053
107,1648835420.182,40581
108,1648835420.184,8054
109,1648835420.186,8052
110,1648835420.188,8044
111,1648835420.19,8035
112,1648835420.192,8024
113,1648835420.194,8014
114,1648835420.196,8005
115,1648835420.198,7997
116,1648835420.2,7992
117,1648835420.202,7990
118,1648835420.204,7989
119,1648835420.206,7987
120,1648835420.208,7982
121,1648835420.21,7977
122,1648835420.212,7973
123,1648835420.214,7969
124,1648835420.216,7965
125,1648835420.218,7960
126,1648835420.22,7954
127,1648835420.222,7945
128,1648835420.224,7937
129,1648835420.226,7931
130,1648835420.228,7928
131,1648835420.23,7926
132,1648835420.232,7923
133,1648835420.234,7919
134,1648835420.236,7915
135,1648835420.238,7910
136,1648835420.24,7902
137,1648835420.242,7891
138,1648835420.244,7881
139,1648835420.246,7872
140,1648835420.248,7865
141,1648835420.25,7856
142,1648835420.252,7846
143,1648835420.254,7837
144,1648835420.256,7829
145,1648835420.258,7820
146,1648835420.26,7809
147,1648835420.262,7797
148,1648835420.264,7785
149,1648835420.266,7773
150,1648835420.268,7763
151,1648835420.27,7753
152,1648835420.272,7744
153,1648835420.274,7735
154,1648835420.276,7724
155,1648835420.278,7711
156,1648835420.28,7697
157,1648835420.282,7683
158,1648835420.284,7671
159,1648835420.286,7663
160,1648835420.288,7656
161,1648835420.29,7649
162,1648835420.292,7641
163,1648835420.294,7631
164,1648835420.296,7620
165,1648835420.298,7609
166,1648835420.3,7600
