,times,values
1760000,1624517921.696,8201
1760001,1624517921.698,8201
1760002,1624517921.7,8202
1760003,1624517921.702,8203
1760004,1624517921.704,8204
1760005,1624517921.706,8205
1760006,1624517921.708,8206
1760007,1624517921.71,8207
1760008,1624517921.712,8207
1760009,1624517921.714,8208
1760010,1624517921.716,8208
1760011,1624517921.718,8208
1760012,1624517921.72,8207
1760013,1624517921.722,8207
1760014,1624517921.724,8207
1760015,1624517921.726,8208
1760016,1624517921.728,8208
1760017,1624517921.73,8208
1760018,1624517921.732,8208
1760019,1624517921.734,8208
1760020,1624517921.736,8207
1760021,1624517921.738,8207
1760022,1624517921.74,8207
1760023,1624517921.742,8207
1760024,1624517921.744,8207
1760025,1624517921.746,8208
1760026,1624517921.748,8209
1760027,1624517921.75,8211
1760028,1624517921.752,8213
1760029,1624517921.754,8214
1760030,1624517921.756,8217
1760031,1624517921.758,8219
1760032,1624517921.76,8222
1760033,1624517921.762,8226
1760034,1624517921.764,8229
1760035,1624517921.766,8232
1760036,1624517921.768,8235
1760037,1624517921.77,8238
1760038,1624517921.772,8240
1760039,1624517921.774,8243
1760040,1624517921.776,8245
1760041,1624517921.778,8246
1760042,1624517921.78,8245
1760043,1624517921.782,8244
1760044,1624517921.784,8242
1760045,1624517921.786,8238
1760046,1624517921.788,8234
1760047,1624517921.79,8230
1760048,1624517921.792,8226
1760049,1624517921.794,8222
1760050,1624517921.796,8219
1760051,1624517921.798,8216
1760052,1624517921.8,8212
1760053,1624517921.802,8209
1760054,1624517921.804,8205
1760055,1624517921.806,8202
1760056,1624517921.808,8199
1760057,1624517921.81,8198
1760058,1624517921.812,8197
1760059,1624517921.814,8197
1760060,1624517921.816,8197
1760061,1624517921.818,8197
1760062,1624517921.82,8197
1760063,1624517921.822,8197
1760064,1624517921.824,8197
1760065,1624517921.826,8196
1760066,1624517921.828,8196
1760067,1624517921.83,8196
1760068,1624517921.832,8196
1760069,1624517921.834,8197
1760070,1624517921.836,8197
