,times,values
1760000,1645889021.752,8215
1760001,1645889021.754,8214
1760002,1645889021.756,8214
1760003,1645889021.758,8213
1760004,1645889021.76,8212
1760005,1645889021.762,8212
1760006,1645889021.764,8213
1760007,1645889021.766,8215
1760008,1645889021.768,8218
1760009,1645889021.77,8220
1760010,1645889021.772,8222
1760011,1645889021.774,8223
1760012,1645889021.776,8222
1760013,1645889021.778,8220
1760014,1645889021.78,8218
1760015,1645889021.782,8214
1760016,1645889021.784,8211
1760017,1645889021.786,8207
1760018,1645889021.788,8203
1760019,1645889021.79,8199
1760020,1645889021.792,8196
1760021,1645889021.794,8192
1760022,1645889021.796,8189
1760023,1645889021.798,8186
1760024,1645889021.8,8183
1760025,1645889021.802,8180
1760026,1645889021.804,8179
1760027,1645889021.806,8178
1760028,1645889021.808,8177
1760029,1645889021.81,8177
1760030,1645889021.812,8177
1760031,1645889021.814,8176
1760032,1645889021.816,8176
1760033,1645889021.818,8175
1760034,1645889021.82,8174
1760035,1645889021.822,8174
1760036,1645889021.824,8173
1760037,1645889021.826,8173
1760038,1645889021.828,8173
1760039,1645889021.83,8173
1760040,1645889021.832,8173
1760041,1645889021.834,8172
1760042,1645889021.836,8172
1760043,1645889021.838,8172
1760044,1645889021.84,8172
1760045,1645889021.842,8172
1760046,1645889021.844,8171
1760047,1645889021.846,8171
1760048,1645889021.848,8171
1760049,1645889021.85,8171
1760050,1645889021.852,8170
1760051,1645889021.854,8170
1760052,1645889021.856,8170
1760053,1645889021.858,8171
1760054,1645889021.86,8171
1760055,1645889021.862,8172
1760056,1645889021.864,8172
1760057,1645889021.866,8172
1760058,1645889021.868,8172
1760059,1645889021.87,8172
1760060,1645889021.872,8173
1760061,1645889021.874,8173
1760062,1645889021.876,8173
1760063,1645889021.878,8173
1760064,1645889021.88,8173
1760065,1645889021.882,8171
1760066,1645889021.884,8168
1760067,1645889021.886,8165
1760068,1645889021.888,8166
1760069,1645889021.89,8172
1760070,1645889021.892,8183
1760071,1645889021.894,8199
1760072,1645889021.896,8220
1760073,1645889021.898,8243
1760074,1645889021.9,8265
1760075,1645889021.902,8285
1760076,1645889021.904,8305
1760077,1645889021.906,8331
1760078,1645889021.908,8361
1760079,1645889021.91,8386
1760080,1645889021.912,8388
1760081,1645889021.914,8359
1760082,1645889021.916,8304
1760083,1645889021.918,8235
1760084,1645889021.92,8170
1760085,1645889021.922,8122
1760086,1645889021.924,8093
1760087,1645889021.926,8083
1760088,1645889021.928,8085
1760089,1645889021.93,8093
1760090,1645889021.932,8104
1760091,1645889021.934,8114
1760092,1645889021.936,8126
1760093,1645889021.938,8139
1760094,1645889021.94,8151
1760095,1645889021.942,8159
1760096,1645889021.944,8164
1760097,1645889021.946,8166
1760098,1645889021.948,8166
1760099,1645889021.95,8166
1760100,1645889021.952,8166
1760101,1645889021.954,8166
1760102,1645889021.956,8166
1760103,1645889021.958,8167
1760104,1645889021.96,8168
1760105,1645889021.962,8168
1760106,1645889021.964,8169
1760107,1645889021.966,8169
1760108,1645889021.968,8170
1760109,1645889021.97,8171
1760110,1645889021.972,8172
1760111,1645889021.974,8172
1760112,1645889021.976,8173
