,times,values
10730000,1593586672.688,8223
10730001,1593586672.69,8224
10730002,1593586672.692,8223
10730003,1593586672.694,8220
10730004,1593586672.696,8217
10730005,1593586672.698,8212
10730006,1593586672.7,8208
10730007,1593586672.702,8204
10730008,1593586672.704,8200
10730009,1593586672.706,8196
10730010,1593586672.708,8191
10730011,1593586672.71,8188
10730012,1593586672.712,8185
10730013,1593586672.714,8183
10730014,1593586672.716,8183
10730015,1593586672.718,8183
10730016,1593586672.72,8182
10730017,1593586672.722,8182
10730018,1593586672.724,8182
10730019,1593586672.726,8182
10730020,1593586672.728,8182
10730021,1593586672.73,8182
10730022,1593586672.732,8182
10730023,1593586672.734,8183
10730024,1593586672.736,8183
10730025,1593586672.738,8183
10730026,1593586672.74,8183
10730027,1593586672.742,8183
10730028,1593586672.744,8182
10730029,1593586672.746,8182
10730030,1593586672.748,8181
10730031,1593586672.75,8181
10730032,1593586672.752,8182
10730033,1593586672.754,8182
10730034,1593586672.756,8183
10730035,1593586672.758,8183
10730036,1593586672.76,8183
10730037,1593586672.762,8183
10730038,1593586672.764,8183
10730039,1593586672.766,8183
10730040,1593586672.768,8183
10730041,1593586672.77,8183
10730042,1593586672.772,8184
10730043,1593586672.774,8184
10730044,1593586672.776,8184
10730045,1593586672.778,8184
10730046,1593586672.78,8184
10730047,1593586672.782,8183
10730048,1593586672.784,8183
10730049,1593586672.786,8184
10730050,1593586672.788,8184
10730051,1593586672.79,8185
10730052,1593586672.792,8185
10730053,1593586672.794,8185
10730054,1593586672.796,8186
10730055,1593586672.798,8186
10730056,1593586672.8,8186
10730057,1593586672.802,8186
10730058,1593586672.804,8187
10730059,1593586672.806,8187
10730060,1593586672.808,8189
10730061,1593586672.81,8191
10730062,1593586672.812,8196
10730063,1593586672.814,8204
10730064,1593586672.816,8216
10730065,1593586672.818,8234
10730066,1593586672.82,8258
10730067,1593586672.822,8285
10730068,1593586672.824,8315
10730069,1593586672.826,8345
10730070,1593586672.828,8372
10730071,1593586672.83,8392
10730072,1593586672.832,8403
10730073,1593586672.834,8403
10730074,1593586672.836,8392
10730075,1593586672.838,8368
10730076,1593586672.84,8330
10730077,1593586672.842,8285
10730078,1593586672.844,8237
10730079,1593586672.846,8190
10730080,1593586672.848,8146
10730081,1593586672.85,8110
10730082,1593586672.852,8086
10730083,1593586672.854,8070
10730084,1593586672.856,8053
10730085,1593586672.858,8027
10730086,1593586672.86,7990
10730087,1593586672.862,7947
10730088,1593586672.864,7905
10730089,1593586672.866,7869
10730090,1593586672.868,7846
10730091,1593586672.87,7842
10730092,1593586672.872,7856
10730093,1593586672.874,7881
10730094,1593586672.876,7911
10730095,1593586672.878,7944
10730096,1593586672.88,7982
10730097,1593586672.882,8025
10730098,1593586672.884,8068
10730099,1593586672.886,8107
10730100,1593586672.888,8136
10730101,1593586672.89,8157
10730102,1593586672.892,8169
10730103,1593586672.894,8176
10730104,1593586672.896,8180
10730105,1593586672.898,8181
10730106,1593586672.9,8182
10730107,1593586672.902,8182
10730108,1593586672.904,8182
10730109,1593586672.906,8182
10730110,1593586672.908,8183
10730111,1593586672.91,8183
10730112,1593586672.912,8183
10730113,1593586672.914,8182
10730114,1593586672.916,8182
10730115,1593586672.918,8182
10730116,1593586672.92,8182
10730117,1593586672.922,8182
10730118,1593586672.924,8182
10730119,1593586672.926,8182
