,times,values
266,1627344002.376,2177
267,1627344002.384,2163
268,1627344002.392,2154
269,1627344002.4,2148
270,1627344002.408,2143
271,1627344002.416,2139
272,1627344002.424,2144
273,1627344002.432,2159
274,1627344002.44,2174
275,1627344002.448,2179
276,1627344002.456,2176
277,1627344002.464,2172
278,1627344002.472,2170
279,1627344002.48,2167
280,1627344002.488,2163
281,1627344002.496,2159
282,1627344002.504,2157
283,1627344002.512,2158
284,1627344002.52,2164
285,1627344002.528,2170
286,1627344002.536,2173
287,1627344002.544,2171
288,1627344002.552,2168
289,1627344002.56,2165
290,1627344002.568,2165
291,1627344002.576,2166
292,1627344002.584,2168
293,1627344002.592,2169
294,1627344002.6,2168
295,1627344002.608,2164
296,1627344002.616,2159
297,1627344002.624,2152
298,1627344002.632,2147
299,1627344002.64,2143
300,1627344002.648,2140
301,1627344002.656,2139
302,1627344002.664,2141
303,1627344002.672,2145
304,1627344002.68,2147
305,1627344002.688,2146
306,1627344002.696,2144
307,1627344002.704,2145
308,1627344002.712,2149
309,1627344002.72,2157
310,1627344002.728,2167
311,1627344002.736,2175
312,1627344002.744,2178
313,1627344002.752,2176
314,1627344002.76,2164
315,1627344002.768,2138
316,1627344002.776,2109
317,1627344002.784,2107
318,1627344002.792,2151
319,1627344002.8,2216
320,1627344002.808,2250
321,1627344002.816,2230
322,1627344002.824,2186
323,1627344002.832,2166
324,1627344002.84,2182
325,1627344002.848,2209
326,1627344002.856,2229
327,1627344002.864,2237
328,1627344002.872,2229
329,1627344002.88,2209
330,1627344002.888,2193
331,1627344002.896,2192
332,1627344002.904,2201
333,1627344002.912,2210
334,1627344002.92,2210
335,1627344002.928,2201
336,1627344002.936,2190
337,1627344002.944,2185
338,1627344002.952,2186
339,1627344002.96,2188
340,1627344002.968,2189
341,1627344002.976,2190
342,1627344002.984,2190
343,1627344002.992,2190
344,1627344003.0,2189
345,1627344003.008,2190
346,1627344003.016,2192
347,1627344003.024,2193
348,1627344003.032,2194
349,1627344003.04,2198
350,1627344003.048,2206
351,1627344003.056,2210
352,1627344003.064,2204
353,1627344003.072,2188
354,1627344003.08,2168
355,1627344003.088,2153
356,1627344003.096,2147
357,1627344003.104,2149
358,1627344003.112,2157
359,1627344003.12,2167
360,1627344003.128,2175
361,1627344003.136,2179
362,1627344003.144,2178
363,1627344003.152,2178
364,1627344003.16,2181
365,1627344003.168,2184
366,1627344003.176,2187
367,1627344003.184,2186
368,1627344003.192,2184
369,1627344003.2,2183
370,1627344003.208,2186
371,1627344003.216,2191
372,1627344003.224,2194
373,1627344003.232,2196
374,1627344003.24,2200
375,1627344003.248,2204
376,1627344003.256,2203
377,1627344003.264,2194
378,1627344003.272,2184
379,1627344003.28,2183
380,1627344003.288,2198
381,1627344003.296,2225
382,1627344003.304,2255
383,1627344003.312,2275
384,1627344003.32,2277
385,1627344003.328,2260
386,1627344003.336,2232
387,1627344003.344,2207
388,1627344003.352,2200
389,1627344003.36,2208
390,1627344003.368,2216
391,1627344003.376,2215
392,1627344003.384,2208
393,1627344003.392,2205
394,1627344003.4,2213
395,1627344003.408,2225
396,1627344003.416,2235
397,1627344003.424,2236
398,1627344003.432,2228
399,1627344003.44,2218
400,1627344003.448,2213
401,1627344003.456,2215
402,1627344003.464,2219
403,1627344003.472,2221
404,1627344003.48,2217
405,1627344003.488,2211
406,1627344003.496,2207
407,1627344003.504,2208
408,1627344003.512,2210
409,1627344003.52,2212
410,1627344003.528,2215
411,1627344003.536,2222
412,1627344003.544,2232
413,1627344003.552,2240
414,1627344003.56,2244
415,1627344003.568,2245
416,1627344003.576,2239
417,1627344003.584,2228
418,1627344003.592,2214
419,1627344003.6,2204
420,1627344003.608,2201
421,1627344003.616,2203
422,1627344003.624,2206
423,1627344003.632,2207
424,1627344003.64,2205
425,1627344003.648,2203
426,1627344003.656,2203
427,1627344003.664,2205
428,1627344003.672,2208
429,1627344003.68,2207
430,1627344003.688,2204
431,1627344003.696,2198
432,1627344003.704,2194
433,1627344003.712,2194
434,1627344003.72,2196
435,1627344003.728,2196
436,1627344003.736,2191
437,1627344003.744,2182
438,1627344003.752,2171
439,1627344003.76,2160
440,1627344003.768,2157
441,1627344003.776,2163
442,1627344003.784,2177
443,1627344003.792,2196
444,1627344003.8,2214
445,1627344003.808,2221
446,1627344003.816,2217
447,1627344003.824,2205
448,1627344003.832,2195
449,1627344003.84,2188
450,1627344003.848,2184
451,1627344003.856,2184
452,1627344003.864,2186
453,1627344003.872,2187
454,1627344003.88,2182
455,1627344003.888,2174
456,1627344003.896,2170
457,1627344003.904,2171
458,1627344003.912,2176
459,1627344003.92,2183
460,1627344003.928,2192
461,1627344003.936,2198
462,1627344003.944,2202
463,1627344003.952,2202
464,1627344003.96,2202
465,1627344003.968,2202
466,1627344003.976,2203
467,1627344003.984,2203
468,1627344003.992,2203
469,1627344004.0,2202
470,1627344004.008,2201
471,1627344004.016,2199
472,1627344004.024,2196
473,1627344004.032,2194
474,1627344004.04,2194
475,1627344004.048,2197
476,1627344004.056,2200
477,1627344004.064,2201
478,1627344004.072,2199
479,1627344004.08,2196
480,1627344004.088,2195
481,1627344004.096,2195
482,1627344004.104,2194
483,1627344004.112,2191
484,1627344004.12,2185
485,1627344004.128,2180
486,1627344004.136,2180
487,1627344004.144,2182
488,1627344004.152,2184
489,1627344004.16,2182
490,1627344004.168,2175
491,1627344004.176,2168
492,1627344004.184,2170
493,1627344004.192,2182
494,1627344004.2,2195
495,1627344004.208,2195
496,1627344004.216,2181
497,1627344004.224,2162
498,1627344004.232,2148
499,1627344004.24,2148
500,1627344004.248,2165
501,1627344004.256,2198
502,1627344004.264,2237
503,1627344004.272,2268
504,1627344004.28,2275
505,1627344004.288,2257
506,1627344004.296,2227
507,1627344004.304,2204
508,1627344004.312,2200
509,1627344004.32,2210
510,1627344004.328,2224
511,1627344004.336,2239
512,1627344004.344,2254
513,1627344004.352,2266
514,1627344004.36,2266
515,1627344004.368,2252
516,1627344004.376,2234
517,1627344004.384,2221
518,1627344004.392,2219
519,1627344004.4,2226
520,1627344004.408,2239
521,1627344004.416,2253
522,1627344004.424,2260
523,1627344004.432,2253
524,1627344004.44,2239
525,1627344004.448,2228
526,1627344004.456,2223
527,1627344004.464,2222
528,1627344004.472,2222
529,1627344004.48,2224
530,1627344004.488,2227
531,1627344004.496,2230
532,1627344004.504,2232
533,1627344004.512,2233
534,1627344004.52,2231
535,1627344004.528,2227
536,1627344004.536,2223
537,1627344004.544,2219
538,1627344004.552,2218
539,1627344004.56,2216
540,1627344004.568,2213
541,1627344004.576,2210
542,1627344004.584,2206
543,1627344004.592,2201
544,1627344004.6,2196
545,1627344004.608,2193
546,1627344004.616,2193
547,1627344004.624,2194
548,1627344004.632,2193
549,1627344004.64,2191
550,1627344004.648,2188
551,1627344004.656,2188
