,times,values
0,1624384800.104,8341
1,1624384800.106,8341
2,1624384800.108,8338
3,1624384800.11,8334
4,1624384800.112,8328
5,1624384800.114,8322
6,1624384800.116,8316
7,1624384800.118,8308
8,1624384800.12,8298
9,1624384800.122,8288
10,1624384800.124,8279
11,1624384800.126,8273
12,1624384800.128,8269
13,1624384800.13,8265
14,1624384800.132,8260
15,1624384800.134,8255
16,1624384800.136,8249
17,1624384800.138,8246
18,1624384800.14,8245
19,1624384800.142,8245
20,1624384800.144,8246
21,1624384800.146,8245
22,1624384800.148,8243
23,1624384800.15,8242
24,1624384800.152,8240
25,1624384800.154,8238
26,1624384800.156,8237
27,1624384800.158,8237
28,1624384800.16,8236
29,1624384800.162,8234
30,1624384800.164,8231
31,1624384800.166,8229
32,1624384800.168,8227
33,1624384800.17,8224
34,1624384800.172,8219
35,1624384800.174,8212
36,1624384800.176,8205
37,1624384800.178,8198
38,1624384800.18,8194
39,1624384800.182,8191
40,1624384800.184,8192
41,1624384800.186,8195
42,1624384800.188,8198
43,1624384800.19,8199
44,1624384800.192,8200
45,1624384800.194,8199
46,1624384800.196,8196
47,1624384800.198,8193
48,1624384800.2,8188
49,1624384800.202,8183
50,1624384800.204,8177
51,1624384800.206,8171
52,1624384800.208,8165
53,1624384800.21,8158
54,1624384800.212,8151
55,1624384800.214,8146
56,1624384800.216,8142
57,1624384800.218,8139
58,1624384800.22,8136
59,1624384800.222,8131
60,1624384800.224,8124
61,1624384800.226,8114
62,1624384800.228,8104
63,1624384800.23,8095
64,1624384800.232,8087
65,1624384800.234,8079
66,1624384800.236,8071
67,1624384800.238,8064
68,1624384800.24,8057
69,1624384800.242,8051
70,1624384800.244,8045
71,1624384800.246,8039
72,1624384800.248,8032
73,1624384800.25,8023
74,1624384800.252,8014
75,1624384800.254,8008
76,1624384800.256,8005
77,1624384800.258,8004
78,1624384800.26,8005
79,1624384800.262,8004
80,1624384800.264,8004
81,1624384800.266,8003
82,1624384800.268,8001
83,1624384800.27,7998
84,1624384800.272,7994
85,1624384800.274,7990
86,1624384800.276,7987
87,1624384800.278,7987
88,1624384800.28,7988
89,1624384800.282,7990
90,1624384800.284,7991
91,1624384800.286,7992
92,1624384800.288,7992
93,1624384800.29,7993
94,1624384800.292,7995
95,1624384800.294,8000
96,1624384800.296,8006
97,1624384800.298,8012
98,1624384800.3,8019
99,1624384800.302,8025
100,1624384800.304,8032
101,1624384800.306,8038
102,1624384800.308,8043
103,1624384800.31,8046
104,1624384800.312,8047
105,1624384800.314,8048
106,1624384800.316,8050
107,1624384800.318,8051
108,1624384800.32,8053
109,1624384800.322,8056
110,1624384800.324,8059
111,1624384800.326,8062
112,1624384800.328,8065
113,1624384800.33,8068
114,1624384800.332,8072
115,1624384800.334,8077
116,1624384800.336,8082
117,1624384800.338,8086
118,1624384800.34,8090
119,1624384800.342,8093
120,1624384800.344,8097
121,1624384800.346,8102
122,1624384800.348,8106
123,1624384800.35,8109
124,1624384800.352,8110
125,1624384800.354,8111
126,1624384800.356,8113
127,1624384800.358,8116
128,1624384800.36,8120
129,1624384800.362,8126
130,1624384800.364,8130
131,1624384800.366,8134
132,1624384800.368,8137
133,1624384800.37,8138
134,1624384800.372,8139
135,1624384800.374,8142
