,times,values
2640000,1651136328.304,8181
2640001,1651136328.306,8181
2640002,1651136328.308,8181
2640003,1651136328.31,8180
2640004,1651136328.312,8182
2640005,1651136328.314,8188
2640006,1651136328.316,8200
2640007,1651136328.318,8223
2640008,1651136328.32,8260
2640009,1651136328.322,8309
2640010,1651136328.324,8366
2640011,1651136328.326,8425
2640012,1651136328.328,8487
2640013,1651136328.33,8542
2640014,1651136328.332,8570
2640015,1651136328.334,8539
2640016,1651136328.336,8439
2640017,1651136328.338,8295
2640018,1651136328.34,8149
2640019,1651136328.342,8030
2640020,1651136328.344,7952
2640021,1651136328.346,7914
2640022,1651136328.348,7909
2640023,1651136328.35,7930
2640024,1651136328.352,7966
2640025,1651136328.354,8009
2640026,1651136328.356,8050
2640027,1651136328.358,8086
2640028,1651136328.36,8115
2640029,1651136328.362,8135
2640030,1651136328.364,8147
2640031,1651136328.366,8153
2640032,1651136328.368,8155
2640033,1651136328.37,8156
2640034,1651136328.372,8156
2640035,1651136328.374,8157
2640036,1651136328.376,8157
2640037,1651136328.378,8158
2640038,1651136328.38,8159
2640039,1651136328.382,8160
2640040,1651136328.384,8160
2640041,1651136328.386,8160
2640042,1651136328.388,8161
2640043,1651136328.39,8161
2640044,1651136328.392,8162
2640045,1651136328.394,8162
2640046,1651136328.396,8162
2640047,1651136328.398,8161
2640048,1651136328.4,8161
2640049,1651136328.402,8161
2640050,1651136328.404,8161
2640051,1651136328.406,8161
2640052,1651136328.408,8161
2640053,1651136328.41,8161
2640054,1651136328.412,8161
2640055,1651136328.414,8161
2640056,1651136328.416,8161
2640057,1651136328.418,8160
2640058,1651136328.42,8160
2640059,1651136328.422,8160
2640060,1651136328.424,8160
2640061,1651136328.426,8160
2640062,1651136328.428,8160
2640063,1651136328.43,8160
2640064,1651136328.432,8160
2640065,1651136328.434,8161
2640066,1651136328.436,8161
2640067,1651136328.438,8162
2640068,1651136328.44,8163
2640069,1651136328.442,8164
2640070,1651136328.444,8165
2640071,1651136328.446,8167
2640072,1651136328.448,8169
2640073,1651136328.45,8172
2640074,1651136328.452,8174
2640075,1651136328.454,8177
2640076,1651136328.456,8180
2640077,1651136328.458,8182
2640078,1651136328.46,8185
2640079,1651136328.462,8188
2640080,1651136328.464,8191
2640081,1651136328.466,8194
2640082,1651136328.468,8196
2640083,1651136328.47,8198
2640084,1651136328.472,8199
2640085,1651136328.474,8201
2640086,1651136328.476,8203
2640087,1651136328.478,8204
2640088,1651136328.48,8205
2640089,1651136328.482,8206
2640090,1651136328.484,8207
2640091,1651136328.486,8208
2640092,1651136328.488,8210
2640093,1651136328.49,8211
2640094,1651136328.492,8214
2640095,1651136328.494,8217
2640096,1651136328.496,8220
2640097,1651136328.498,8223
2640098,1651136328.5,8225
2640099,1651136328.502,8227
2640100,1651136328.504,8228
2640101,1651136328.506,8230
2640102,1651136328.508,8231
2640103,1651136328.51,8232
2640104,1651136328.512,8233
2640105,1651136328.514,8234
2640106,1651136328.516,8236
2640107,1651136328.518,8239
2640108,1651136328.52,8242
2640109,1651136328.522,8243
2640110,1651136328.524,8244
2640111,1651136328.526,8243
2640112,1651136328.528,8241
2640113,1651136328.53,8239
2640114,1651136328.532,8238
2640115,1651136328.534,8240
2640116,1651136328.536,8242
2640117,1651136328.538,8244
2640118,1651136328.54,8244
2640119,1651136328.542,8243
2640120,1651136328.544,8241
2640121,1651136328.546,8238
2640122,1651136328.548,8236
2640123,1651136328.55,8233
2640124,1651136328.552,8231
2640125,1651136328.554,8228
2640126,1651136328.556,8225
2640127,1651136328.558,8223
2640128,1651136328.56,8220
2640129,1651136328.562,8216
2640130,1651136328.564,8212
2640131,1651136328.566,8209
2640132,1651136328.568,8205
2640133,1651136328.57,8203
2640134,1651136328.572,8201
2640135,1651136328.574,8199
2640136,1651136328.576,8197
2640137,1651136328.578,8195
2640138,1651136328.58,8193
2640139,1651136328.582,8191
2640140,1651136328.584,8189
2640141,1651136328.586,8188
2640142,1651136328.588,8188
2640143,1651136328.59,8187
2640144,1651136328.592,8186
2640145,1651136328.594,8185
2640146,1651136328.596,8185
2640147,1651136328.598,8184
2640148,1651136328.6,8183
2640149,1651136328.602,8182
2640150,1651136328.604,8181
2640151,1651136328.606,8180
2640152,1651136328.608,8180
2640153,1651136328.61,8179
2640154,1651136328.612,8178
2640155,1651136328.614,8178
2640156,1651136328.616,8177
2640157,1651136328.618,8177
2640158,1651136328.62,8176
2640159,1651136328.622,8176
2640160,1651136328.624,8176
2640161,1651136328.626,8176
2640162,1651136328.628,8176
2640163,1651136328.63,8176
2640164,1651136328.632,8175
2640165,1651136328.634,8175
2640166,1651136328.636,8175
2640167,1651136328.638,8175
2640168,1651136328.64,8175
2640169,1651136328.642,8175
2640170,1651136328.644,8175
2640171,1651136328.646,8175
2640172,1651136328.648,8175
2640173,1651136328.65,8176
2640174,1651136328.652,8176
2640175,1651136328.654,8176
2640176,1651136328.656,8176
2640177,1651136328.658,8176
2640178,1651136328.66,8176
2640179,1651136328.662,8177
2640180,1651136328.664,8178
2640181,1651136328.666,8178
2640182,1651136328.668,8179
2640183,1651136328.67,8180
2640184,1651136328.672,8182
2640185,1651136328.674,8187
2640186,1651136328.676,8198
2640187,1651136328.678,8219
2640188,1651136328.68,8253
2640189,1651136328.682,8301
2640190,1651136328.684,8358
2640191,1651136328.686,8421
2640192,1651136328.688,8487
2640193,1651136328.69,8544
2640194,1651136328.692,8567
2640195,1651136328.694,8532
2640196,1651136328.696,8436
2640197,1651136328.698,8300
2640198,1651136328.7,8158
2640199,1651136328.702,8040
2640200,1651136328.704,7959
2640201,1651136328.706,7917
2640202,1651136328.708,7911
2640203,1651136328.71,7933
2640204,1651136328.712,7970
2640205,1651136328.714,8013
2640206,1651136328.716,8053
2640207,1651136328.718,8087
2640208,1651136328.72,8114
2640209,1651136328.722,8133
2640210,1651136328.724,8145
2640211,1651136328.726,8151
2640212,1651136328.728,8154
2640213,1651136328.73,8155
2640214,1651136328.732,8155
2640215,1651136328.734,8155
2640216,1651136328.736,8156
2640217,1651136328.738,8157
2640218,1651136328.74,8157
2640219,1651136328.742,8157
2640220,1651136328.744,8158
2640221,1651136328.746,8159
2640222,1651136328.748,8159
2640223,1651136328.75,8159
2640224,1651136328.752,8159
2640225,1651136328.754,8159
2640226,1651136328.756,8159
2640227,1651136328.758,8159
2640228,1651136328.76,8159
2640229,1651136328.762,8159
2640230,1651136328.764,8159
2640231,1651136328.766,8159
2640232,1651136328.768,8159
2640233,1651136328.77,8158
2640234,1651136328.772,8157
2640235,1651136328.774,8157
2640236,1651136328.776,8157
2640237,1651136328.778,8157
2640238,1651136328.78,8157
2640239,1651136328.782,8157
2640240,1651136328.784,8157
2640241,1651136328.786,8156
2640242,1651136328.788,8156
2640243,1651136328.79,8156
2640244,1651136328.792,8156
2640245,1651136328.794,8157
