,times,values
1760000,1651078722.632,8192
1760001,1651078722.634,8189
1760002,1651078722.636,8187
1760003,1651078722.638,8187
1760004,1651078722.64,8188
1760005,1651078722.642,8190
1760006,1651078722.644,8192
1760007,1651078722.646,8195
1760008,1651078722.648,8197
1760009,1651078722.65,8199
1760010,1651078722.652,8200
1760011,1651078722.654,8201
1760012,1651078722.656,8203
1760013,1651078722.658,8203
1760014,1651078722.66,8204
1760015,1651078722.662,8204
1760016,1651078722.664,8204
1760017,1651078722.666,8203
1760018,1651078722.668,8201
1760019,1651078722.67,8198
1760020,1651078722.672,8196
1760021,1651078722.674,8193
1760022,1651078722.676,8192
1760023,1651078722.678,8191
1760024,1651078722.68,8189
1760025,1651078722.682,8187
1760026,1651078722.684,8185
1760027,1651078722.686,8183
1760028,1651078722.688,8181
1760029,1651078722.69,8180
1760030,1651078722.692,8179
1760031,1651078722.694,8178
1760032,1651078722.696,8177
1760033,1651078722.698,8175
1760034,1651078722.7,8174
1760035,1651078722.702,8173
1760036,1651078722.704,8173
1760037,1651078722.706,8173
1760038,1651078722.708,8173
1760039,1651078722.71,8173
1760040,1651078722.712,8173
1760041,1651078722.714,8172
1760042,1651078722.716,8172
1760043,1651078722.718,8171
1760044,1651078722.72,8171
1760045,1651078722.722,8171
1760046,1651078722.724,8171
1760047,1651078722.726,8171
1760048,1651078722.728,8171
1760049,1651078722.73,8170
1760050,1651078722.732,8169
1760051,1651078722.734,8169
1760052,1651078722.736,8168
1760053,1651078722.738,8164
1760054,1651078722.74,8157
1760055,1651078722.742,8145
1760056,1651078722.744,8133
1760057,1651078722.746,8125
1760058,1651078722.748,8128
1760059,1651078722.75,8145
1760060,1651078722.752,8175
1760061,1651078722.754,8212
1760062,1651078722.756,8252
1760063,1651078722.758,8291
1760064,1651078722.76,8322
1760065,1651078722.762,8327
1760066,1651078722.764,8297
1760067,1651078722.766,8246
1760068,1651078722.768,8196
1760069,1651078722.77,8161
1760070,1651078722.772,8138
1760071,1651078722.774,8121
1760072,1651078722.776,8107
1760073,1651078722.778,8094
1760074,1651078722.78,8080
1760075,1651078722.782,8071
1760076,1651078722.784,8072
1760077,1651078722.786,8083
1760078,1651078722.788,8103
1760079,1651078722.79,8126
1760080,1651078722.792,8146
1760081,1651078722.794,8162
1760082,1651078722.796,8172
1760083,1651078722.798,8176
1760084,1651078722.8,8178
1760085,1651078722.802,8179
1760086,1651078722.804,8180
1760087,1651078722.806,8180
1760088,1651078722.808,8181
1760089,1651078722.81,8181
1760090,1651078722.812,8181
1760091,1651078722.814,8182
1760092,1651078722.816,8182
1760093,1651078722.818,8183
1760094,1651078722.82,8183
1760095,1651078722.822,8184
1760096,1651078722.824,8185
1760097,1651078722.826,8185
1760098,1651078722.828,8186
1760099,1651078722.83,8186
1760100,1651078722.832,8187
1760101,1651078722.834,8187
1760102,1651078722.836,8188
1760103,1651078722.838,8188
1760104,1651078722.84,8189
1760105,1651078722.842,8189
1760106,1651078722.844,8189
1760107,1651078722.846,8190
1760108,1651078722.848,8190
1760109,1651078722.85,8190
1760110,1651078722.852,8190
1760111,1651078722.854,8190
1760112,1651078722.856,8191
1760113,1651078722.858,8192
1760114,1651078722.86,8193
1760115,1651078722.862,8194
1760116,1651078722.864,8195
1760117,1651078722.866,8197
1760118,1651078722.868,8199
1760119,1651078722.87,8202
1760120,1651078722.872,8205
1760121,1651078722.874,8209
1760122,1651078722.876,8212
1760123,1651078722.878,8216
1760124,1651078722.88,8220
1760125,1651078722.882,8224
1760126,1651078722.884,8228
1760127,1651078722.886,8231
1760128,1651078722.888,8234
1760129,1651078722.89,8237
1760130,1651078722.892,8240
1760131,1651078722.894,8243
1760132,1651078722.896,8245
1760133,1651078722.898,8246
1760134,1651078722.9,8247
1760135,1651078722.902,8247
1760136,1651078722.904,8245
1760137,1651078722.906,8243
