,times,values
1760228,1608630371.144,8205
1760229,1608630371.146,8203
1760230,1608630371.148,8202
1760231,1608630371.15,8200
1760232,1608630371.152,8199
1760233,1608630371.154,8198
1760234,1608630371.156,8198
1760235,1608630371.158,8197
1760236,1608630371.16,8197
1760237,1608630371.162,8196
1760238,1608630371.164,8196
1760239,1608630371.166,8196
1760240,1608630371.168,8196
1760241,1608630371.17,8196
1760242,1608630371.172,8196
1760243,1608630371.174,8196
1760244,1608630371.176,8195
1760245,1608630371.178,8195
1760246,1608630371.18,8195
1760247,1608630371.182,8194
1760248,1608630371.184,8194
1760249,1608630371.186,8193
1760250,1608630371.188,8192
1760251,1608630371.19,8191
1760252,1608630371.192,8190
1760253,1608630371.194,8190
1760254,1608630371.196,8189
1760255,1608630371.198,8188
1760256,1608630371.2,8188
1760257,1608630371.202,8188
1760258,1608630371.204,8188
1760259,1608630371.206,8188
1760260,1608630371.208,8189
1760261,1608630371.21,8190
1760262,1608630371.212,8191
1760263,1608630371.214,8194
1760264,1608630371.216,8197
1760265,1608630371.218,8202
1760266,1608630371.22,8207
1760267,1608630371.222,8213
1760268,1608630371.224,8220
1760269,1608630371.226,8226
1760270,1608630371.228,8230
1760271,1608630371.23,8233
1760272,1608630371.232,8233
1760273,1608630371.234,8229
1760274,1608630371.236,8220
1760275,1608630371.238,8208
1760276,1608630371.24,8191
1760277,1608630371.242,8172
1760278,1608630371.244,8152
1760279,1608630371.246,8131
1760280,1608630371.248,8112
1760281,1608630371.25,8095
1760282,1608630371.252,8081
1760283,1608630371.254,8070
1760284,1608630371.256,8063
1760285,1608630371.258,8058
1760286,1608630371.26,8057
1760287,1608630371.262,8057
1760288,1608630371.264,8059
1760289,1608630371.266,8063
1760290,1608630371.268,8069
1760291,1608630371.27,8076
1760292,1608630371.272,8085
1760293,1608630371.274,8094
1760294,1608630371.276,8104
1760295,1608630371.278,8114
1760296,1608630371.28,8124
1760297,1608630371.282,8133
1760298,1608630371.284,8141
1760299,1608630371.286,8149
1760300,1608630371.288,8155
1760301,1608630371.29,8161
1760302,1608630371.292,8166
1760303,1608630371.294,8170
1760304,1608630371.296,8174
1760305,1608630371.298,8177
1760306,1608630371.3,8180
1760307,1608630371.302,8182
1760308,1608630371.304,8183
1760309,1608630371.306,8185
1760310,1608630371.308,8185
1760311,1608630371.31,8186
1760312,1608630371.312,8186
1760313,1608630371.314,8186
1760314,1608630371.316,8186
1760315,1608630371.318,8186
1760316,1608630371.32,8186
1760317,1608630371.322,8186
1760318,1608630371.324,8186
1760319,1608630371.326,8186
1760320,1608630371.328,8186
1760321,1608630371.33,8186
1760322,1608630371.332,8185
1760323,1608630371.334,8185
1760324,1608630371.336,8185
1760325,1608630371.338,8184
1760326,1608630371.34,8184
1760327,1608630371.342,8184
1760328,1608630371.344,8183
1760329,1608630371.346,8183
1760330,1608630371.348,8183
1760331,1608630371.35,8183
1760332,1608630371.352,8183
1760333,1608630371.354,8184
1760334,1608630371.356,8184
1760335,1608630371.358,8184
1760336,1608630371.36,8184
1760337,1608630371.362,8185
1760338,1608630371.364,8185
1760339,1608630371.366,8186
1760340,1608630371.368,8187
1760341,1608630371.37,8187
1760342,1608630371.372,8188
1760343,1608630371.374,8189
1760344,1608630371.376,8190
1760345,1608630371.378,8191
1760346,1608630371.38,8193
1760347,1608630371.382,8194
1760348,1608630371.384,8196
1760349,1608630371.386,8198
1760350,1608630371.388,8199
1760351,1608630371.39,8201
1760352,1608630371.392,8203
1760353,1608630371.394,8205
1760354,1608630371.396,8207
1760355,1608630371.398,8209
1760356,1608630371.4,8211
1760357,1608630371.402,8212
1760358,1608630371.404,8214
1760359,1608630371.406,8216
1760360,1608630371.408,8218
1760361,1608630371.41,8219
1760362,1608630371.412,8221
1760363,1608630371.414,8222
1760364,1608630371.416,8223
1760365,1608630371.418,8225
1760366,1608630371.42,8226
1760367,1608630371.422,8227
1760368,1608630371.424,8227
1760369,1608630371.426,8228
1760370,1608630371.428,8228
1760371,1608630371.43,8228
1760372,1608630371.432,8228
1760373,1608630371.434,8228
1760374,1608630371.436,8228
1760375,1608630371.438,8227
1760376,1608630371.44,8227
1760377,1608630371.442,8226
1760378,1608630371.444,8225
1760379,1608630371.446,8224
1760380,1608630371.448,8223
1760381,1608630371.45,8222
1760382,1608630371.452,8221
1760383,1608630371.454,8220
1760384,1608630371.456,8219
1760385,1608630371.458,8218
1760386,1608630371.46,8217
1760387,1608630371.462,8216
1760388,1608630371.464,8215
1760389,1608630371.466,8214
1760390,1608630371.468,8213
1760391,1608630371.47,8212
1760392,1608630371.472,8212
1760393,1608630371.474,8212
1760394,1608630371.476,8212
1760395,1608630371.478,8212
1760396,1608630371.48,8213
1760397,1608630371.482,8214
1760398,1608630371.484,8215
1760399,1608630371.486,8217
1760400,1608630371.488,8218
1760401,1608630371.49,8219
1760402,1608630371.492,8221
1760403,1608630371.494,8222
1760404,1608630371.496,8223
1760405,1608630371.498,8224
1760406,1608630371.5,8225
1760407,1608630371.502,8225
1760408,1608630371.504,8225
1760409,1608630371.506,8225
1760410,1608630371.508,8225
1760411,1608630371.51,8224
1760412,1608630371.512,8223
1760413,1608630371.514,8222
1760414,1608630371.516,8220
1760415,1608630371.518,8219
1760416,1608630371.52,8217
1760417,1608630371.522,8215
1760418,1608630371.524,8214
1760419,1608630371.526,8212
1760420,1608630371.528,8210
1760421,1608630371.53,8208
1760422,1608630371.532,8206
1760423,1608630371.534,8203
1760424,1608630371.536,8201
1760425,1608630371.538,8199
1760426,1608630371.54,8198
1760427,1608630371.542,8196
1760428,1608630371.544,8195
1760429,1608630371.546,8193
1760430,1608630371.548,8192
1760431,1608630371.55,8192
1760432,1608630371.552,8191
1760433,1608630371.554,8190
1760434,1608630371.556,8190
1760435,1608630371.558,8190
1760436,1608630371.56,8189
1760437,1608630371.562,8189
1760438,1608630371.564,8189
1760439,1608630371.566,8189
1760440,1608630371.568,8189
1760441,1608630371.57,8189
1760442,1608630371.572,8188
1760443,1608630371.574,8188
1760444,1608630371.576,8188
1760445,1608630371.578,8188
1760446,1608630371.58,8188
1760447,1608630371.582,8187
1760448,1608630371.584,8187
1760449,1608630371.586,8187
1760450,1608630371.588,8187
1760451,1608630371.59,8187
1760452,1608630371.592,8188
1760453,1608630371.594,8188
1760454,1608630371.596,8189
1760455,1608630371.598,8190
1760456,1608630371.6,8191
1760457,1608630371.602,8193
1760458,1608630371.604,8196
1760459,1608630371.606,8200
1760460,1608630371.608,8204
1760461,1608630371.61,8210
1760462,1608630371.612,8216
1760463,1608630371.614,8222
1760464,1608630371.616,8228
1760465,1608630371.618,8232
1760466,1608630371.62,8234
1760467,1608630371.622,8233
1760468,1608630371.624,8227
1760469,1608630371.626,8218
1760470,1608630371.628,8204
1760471,1608630371.63,8187
1760472,1608630371.632,8168
1760473,1608630371.634,8147
1760474,1608630371.636,8127
1760475,1608630371.638,8108
1760476,1608630371.64,8092
1760477,1608630371.642,8080
1760478,1608630371.644,8070
1760479,1608630371.646,8063
1760480,1608630371.648,8060
1760481,1608630371.65,8059
1760482,1608630371.652,8060
1760483,1608630371.654,8063
1760484,1608630371.656,8067
1760485,1608630371.658,8074
1760486,1608630371.66,8081
1760487,1608630371.662,8090
1760488,1608630371.664,8100
1760489,1608630371.666,8110
1760490,1608630371.668,8121
1760491,1608630371.67,8131
1760492,1608630371.672,8140
1760493,1608630371.674,8148
1760494,1608630371.676,8155
1760495,1608630371.678,8161
1760496,1608630371.68,8167
1760497,1608630371.682,8172
1760498,1608630371.684,8176
1760499,1608630371.686,8180
1760500,1608630371.688,8183
1760501,1608630371.69,8186
1760502,1608630371.692,8188
1760503,1608630371.694,8190
1760504,1608630371.696,8191
1760505,1608630371.698,8192
1760506,1608630371.7,8192
1760507,1608630371.702,8193
1760508,1608630371.704,8193
1760509,1608630371.706,8193
1760510,1608630371.708,8193
1760511,1608630371.71,8193
1760512,1608630371.712,8193
1760513,1608630371.714,8193
1760514,1608630371.716,8193
1760515,1608630371.718,8193
1760516,1608630371.72,8193
1760517,1608630371.722,8193
1760518,1608630371.724,8193
1760519,1608630371.726,8193
1760520,1608630371.728,8193
1760521,1608630371.73,8193
1760522,1608630371.732,8193
1760523,1608630371.734,8194
1760524,1608630371.736,8194
1760525,1608630371.738,8194
1760526,1608630371.74,8194
1760527,1608630371.742,8194
1760528,1608630371.744,8195
1760529,1608630371.746,8195
1760530,1608630371.748,8195
1760531,1608630371.75,8196
1760532,1608630371.752,8196
1760533,1608630371.754,8197
1760534,1608630371.756,8198
1760535,1608630371.758,8199
1760536,1608630371.76,8200
1760537,1608630371.762,8201
1760538,1608630371.764,8202
1760539,1608630371.766,8203
1760540,1608630371.768,8205
1760541,1608630371.77,8206
1760542,1608630371.772,8208
1760543,1608630371.774,8209
1760544,1608630371.776,8211
1760545,1608630371.778,8213
1760546,1608630371.78,8214
1760547,1608630371.782,8216
1760548,1608630371.784,8218
1760549,1608630371.786,8219
1760550,1608630371.788,8221
1760551,1608630371.79,8223
1760552,1608630371.792,8224
1760553,1608630371.794,8226
1760554,1608630371.796,8227
1760555,1608630371.798,8229
1760556,1608630371.8,8230
1760557,1608630371.802,8231
1760558,1608630371.804,8232
1760559,1608630371.806,8233
1760560,1608630371.808,8233
1760561,1608630371.81,8234
1760562,1608630371.812,8234
1760563,1608630371.814,8235
1760564,1608630371.816,8235
1760565,1608630371.818,8235
1760566,1608630371.82,8235
1760567,1608630371.822,8234
1760568,1608630371.824,8234
1760569,1608630371.826,8233
1760570,1608630371.828,8233
1760571,1608630371.83,8232
1760572,1608630371.832,8231
1760573,1608630371.834,8230
1760574,1608630371.836,8229
1760575,1608630371.838,8228
1760576,1608630371.84,8227
1760577,1608630371.842,8226
1760578,1608630371.844,8225
1760579,1608630371.846,8224
1760580,1608630371.848,8222
1760581,1608630371.85,8221
1760582,1608630371.852,8220
1760583,1608630371.854,8218
1760584,1608630371.856,8217
1760585,1608630371.858,8216
1760586,1608630371.86,8215
1760587,1608630371.862,8215
1760588,1608630371.864,8215
1760589,1608630371.866,8215
1760590,1608630371.868,8215
1760591,1608630371.87,8216
1760592,1608630371.872,8217
1760593,1608630371.874,8218
1760594,1608630371.876,8220
1760595,1608630371.878,8221
1760596,1608630371.88,8222
1760597,1608630371.882,8223
1760598,1608630371.884,8224
1760599,1608630371.886,8225
1760600,1608630371.888,8226
1760601,1608630371.89,8226
1760602,1608630371.892,8227
1760603,1608630371.894,8227
1760604,1608630371.896,8226
1760605,1608630371.898,8226
1760606,1608630371.9,8225
1760607,1608630371.902,8224
1760608,1608630371.904,8222
1760609,1608630371.906,8221
1760610,1608630371.908,8219
1760611,1608630371.91,8218
1760612,1608630371.912,8216
1760613,1608630371.914,8214
1760614,1608630371.916,8212
1760615,1608630371.918,8210
1760616,1608630371.92,8208
1760617,1608630371.922,8206
1760618,1608630371.924,8204
1760619,1608630371.926,8202
1760620,1608630371.928,8200
1760621,1608630371.93,8198
1760622,1608630371.932,8197
1760623,1608630371.934,8195
1760624,1608630371.936,8194
1760625,1608630371.938,8193
1760626,1608630371.94,8192
1760627,1608630371.942,8191
1760628,1608630371.944,8191
