,times,values
3520000,1636765044.384,8183
3520001,1636765044.386,8183
3520002,1636765044.388,8184
3520003,1636765044.39,8186
3520004,1636765044.392,8188
3520005,1636765044.394,8189
3520006,1636765044.396,8188
3520007,1636765044.398,8187
3520008,1636765044.4,8186
3520009,1636765044.402,8186
3520010,1636765044.404,8186
3520011,1636765044.406,8186
3520012,1636765044.408,8186
3520013,1636765044.41,8186
3520014,1636765044.412,8185
3520015,1636765044.414,8184
3520016,1636765044.416,8183
3520017,1636765044.418,8181
3520018,1636765044.42,8180
3520019,1636765044.422,8179
3520020,1636765044.424,8179
3520021,1636765044.426,8180
3520022,1636765044.428,8180
3520023,1636765044.43,8181
3520024,1636765044.432,8180
3520025,1636765044.434,8180
3520026,1636765044.436,8180
3520027,1636765044.438,8181
3520028,1636765044.44,8182
3520029,1636765044.442,8183
3520030,1636765044.444,8184
3520031,1636765044.446,8184
3520032,1636765044.448,8184
3520033,1636765044.45,8183
3520034,1636765044.452,8182
3520035,1636765044.454,8181
3520036,1636765044.456,8179
3520037,1636765044.458,8178
3520038,1636765044.46,8176
3520039,1636765044.462,8175
3520040,1636765044.464,8174
3520041,1636765044.466,8173
3520042,1636765044.468,8172
3520043,1636765044.47,8171
3520044,1636765044.472,8170
3520045,1636765044.474,8169
3520046,1636765044.476,8169
3520047,1636765044.478,8168
3520048,1636765044.48,8167
3520049,1636765044.482,8166
3520050,1636765044.484,8164
3520051,1636765044.486,8164
3520052,1636765044.488,8164
3520053,1636765044.49,8163
3520054,1636765044.492,8163
3520055,1636765044.494,8162
3520056,1636765044.496,8161
3520057,1636765044.498,8160
3520058,1636765044.5,8160
3520059,1636765044.502,8160
3520060,1636765044.504,8160
3520061,1636765044.506,8159
3520062,1636765044.508,8159
3520063,1636765044.51,8159
3520064,1636765044.512,8159
3520065,1636765044.514,8159
3520066,1636765044.516,8159
3520067,1636765044.518,8159
3520068,1636765044.52,8160
3520069,1636765044.522,8160
3520070,1636765044.524,8160
3520071,1636765044.526,8160
3520072,1636765044.528,8160
3520073,1636765044.53,8160
3520074,1636765044.532,8160
3520075,1636765044.534,8160
3520076,1636765044.536,8160
3520077,1636765044.538,8160
3520078,1636765044.54,8161
3520079,1636765044.542,8162
3520080,1636765044.544,8163
3520081,1636765044.546,8164
3520082,1636765044.548,8166
